****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
196 (QN/Block) 	Elapsed: 21.606	Loglikelihood: -1.40167e+08	(delta): 0.0014874
197 (QN/Block) 	Elapsed: 21.693	Loglikelihood: -1.40167e+08	(delta): 0.00750047
198 (QN/Block) 	Elapsed: 20.37	Loglikelihood: -1.40167e+08	(delta): 0.00485036
199 (QN/Block) 	Elapsed: 20.559	Loglikelihood: -1.40167e+08	(delta): 0.00388986
200 (QN/Block) 	Elapsed: 21.669	Loglikelihood: -1.40167e+08	(delta): 0.00212413
201 (QN/Block) 	Elapsed: 22.613	Loglikelihood: -1.40167e+08	(delta): 0.00140417
202 (QN/Block) 	Elapsed: 25.293	Loglikelihood: -1.40167e+08	(delta): 0.00674498
203 (QN/Block) 	Elapsed: 21.414	Loglikelihood: -1.40167e+08	(delta): 0.00334987
204 (QN/Block) 	Elapsed: 20.98	Loglikelihood: -1.40167e+08	(delta): 0.00977772
205 (QN/Block) 	Elapsed: 22.599	Loglikelihood: -1.40167e+08	(delta): 0.00613788
206 (QN/Block) 	Elapsed: 22.969	Loglikelihood: -1.40167e+08	(delta): 0.00317174
207 (QN/Block) 	Elapsed: 25.38	Loglikelihood: -1.40167e+08	(delta): 0.00203127
208 (QN/Block) 	Elapsed: 25.44	Loglikelihood: -1.40167e+08	(delta): 0.00169834
209 (QN/Block) 	Elapsed: 23.16	Loglikelihood: -1.40167e+08	(delta): 0.000597
210 (QN/Block) 	Elapsed: 20.9	Loglikelihood: -1.40167e+08	(delta): 0.0150915
211 (QN/Block) 	Elapsed: 21.106	Loglikelihood: -1.40167e+08	(delta): 0.00632107
212 (QN/Block) 	Elapsed: 23.627	Loglikelihood: -1.40167e+08	(delta): 0.0265514
213 (QN/Block) 	Elapsed: 24.131	Loglikelihood: -1.40167e+08	(delta): 0.00140417
214 (QN/Block) 	Elapsed: 21.001	Loglikelihood: -1.40167e+08	(delta): 0.00398242
215 (QN/Block) 	Elapsed: 20.426	Loglikelihood: -1.40167e+08	(delta): 0.00159755
216 (QN/Block) 	Elapsed: 22.868	Loglikelihood: -1.40167e+08	(delta): 0.00477508
